feature,CFU,radiodensity (HU),stdev radiodensity (HU),soft volume (mL),hard volume (mL),PET activity (SUV),∆ radiodensity (HU),∆ stdev radiodensity (HU),∆ soft volume (mL),∆ hard volume (mL),∆ PET activity (SUV)
  5N cellPK FBC90 ,0.68,0.6,0.79,0.82,0.16,0.64,0.35,0.52,0.17,0.83,0.7
 7H cellPK FBC90 ,0.27,0.39,0.4,0.76,0.48,0.39,0.53,0.89,0.01,0.3,0.76
 7N cellPK FBC90 ,0.18,0.36,0.43,0.55,0.85,0.46,0.93,0.26,0.3,0.17,0.64
  5N equip AUC50 ,0.32,0.06,0.44,0.93,0.15,0.25,0.08,0.38,0.33,0.03,0.25
 7H equip AUC50 ,0.82,0.62,0.19,0.1,0.71,0.16,0.39,0.57,0.96,0.96,0.25
 7N equip AUC50 ,0.58,0.98,0.37,0.04,0.12,0.99,0.48,0.59,0.43,0.72,0.71
  5N equip FBC50 ,0.6,0.03,0.95,0.96,0.1,0.04,0.04,0.78,0.16,0.06,0.02
 7H equip FBC50 ,0.19,0.86,0.96,0.74,0.46,0.25,0.89,0.38,0.63,0.88,0.01
 7N equip FBC50 ,0.22,0.86,0.54,0.67,0.17,0.26,0.75,0.38,0.03,0.2,0.92
5N equip FBC90 ,0.02,0.52,0.96,0.7,0.58,0.82,0.91,0.71,0.62,0.53,0.28
 7H equip FBC90 ,0.09,0.52,0.71,0.72,0.62,0.19,0.64,0.7,0.17,0.82,0.11
 7N equip FBC90 ,0.75,0.6,0.43,0.16,0.05,0.75,0.79,0.01,0.14,0.28,0.95
