Compound,MarmID,Lesion,TP1_MeanHU,TP2_MeanHU,TP3_MeanHU,TP4_MeanHU,TP5_MeanHU,TP6_MeanHU,TP1_MedianHU,TP2_MedianHU,TP3_MedianHU,TP4_MedianHU,TP5_MedianHU,TP6_MedianHU,TP1_StandDevHU,TP2_StandDevHU,TP3_StandDevHU,TP4_StandDevHU,TP5_StandDevHU,TP6_StandDevHU,TP1_MeanSUV,TP2_MeanSUV,TP3_MeanSUV,TP4_MeanSUV,TP5_MeanSUV,TP6_MeanSUV,TP1_MedianSUV,TP2_MedianSUV,TP3_MedianSUV,TP4_MedianSUV,TP5_MedianSUV,TP6_MedianSUV,TP1_StandDevSUV,TP2_StandDevSUV,TP3_StandDevSUV,TP4_StandDevSUV,TP5_StandDevSUV,TP6_StandDevSUV,TP1_MaxSUV,TP2_MaxSUV,TP3_MaxSUV,TP4_MaxSUV,TP5_MaxSUV,TP6_MaxSUV,TP1_HighSUV,TP2_HighSUV,TP3_HighSUV,TP4_HighSUV,TP5_HighSUV,TP6_HighSUV,TP1_VOLMORE1p5_SUV,TP2_VOLMORE1p5_SUV,TP3_VOLMORE1p5_SUV,TP4_VOLMORE1p5_SUV,TP5_VOLMORE1p5_SUV,TP6_VOLMORE1p5_SUV,TP1_VOLMORE2_SUV,TP2_VOLMORE2_SUV,TP3_VOLMORE2_SUV,TP4_VOLMORE2_SUV,TP5_VOLMORE2_SUV,TP6_VOLMORE2_SUV,TP1_TLG_SUV,TP2_TLG_SUV,TP3_TLG_SUV,TP4_TLG_SUV,TP5_TLG_SUV,TP6_TLG_SUV,TP1_TLG_HardPlusSoft_SUV,TP2_TLG_HardPlusSoft_SUV,TP3_TLG_HardPlusSoft_SUV,TP4_TLG_HardPlusSoft_SUV,TP5_TLG_HardPlusSoft_SUV,TP6_TLG_HardPlusSoft_SUV,TP1_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP2_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP3_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP4_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP5_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP6_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP1_SoftVol,TP2_SoftVol,TP3_SoftVol,TP4_SoftVol,TP5_SoftVol,TP6_SoftVol,TP1_HardVol,TP2_HardVol,TP3_HardVol,TP4_HardVol,TP5_HardVol,TP6_HardVol,TP1_log10CFU,TP2_log10CFU,TP3_log10CFU,TP4_log10CFU,TP5_log10CFU,TP6_log10CFU,TP1_LesionType,TP2_LesionType,TP3_LesionType,TP4_LesionType,TP5_LesionType,TP6_LesionType,TP1_FinalLesionType,TP2_FinalLesionType,TP3_FinalLesionType,TP4_FinalLesionType,TP5_FinalLesionType,TP6_FinalLesionType,TP1_Consolidate,TP2_Consolidate,TP3_Consolidate,TP4_Consolidate,TP5_Consolidate,TP6_Consolidate,TP1_Contour,TP2_Contour,TP3_Contour,TP4_Contour,TP5_Contour,TP6_Contour,UMAP1,UMAP2,cluster,classif
MOX,BO36,13,-180.4,-16.59,-40.12,-83.95,-83.68,-72.3,-154.0,13.0,-5.0,-35.0,-26.0,-24.0,172.87,106.03,122.7,147.59,159.31,141.31,2.33,3.01,1.3,1.43,1.82,2.15,2.02,2.97,1.31,1.37,1.55,1.7,1.12,1.38,0.48,0.64,1.05,1.4,6.11,6.52,2.5,3.35,4.72,6.75,0.19,0.86,0.34,0.36,0.4,0.32,0.19,0.86,0.34,0.36,0.4,0.32,0.13,0.72,0.07,0.16,0.31,0.24,0.6,3.14,1.2,1.12,1.44,1.24,0.59,3.14,1.19,1.1,1.41,1.22,0.031096563011456628,0.13190184049079756,0.136,0.10746268656716418,0.08474576271186442,0.047407407407407405,0.12,0.1,0.11,0.16,0.15,0.1,0.12,0.93,0.8,0.63,0.62,0.46,,,,,,1.53,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,true,true,true,true,true,true,Lesion 13z14z15 Day 034 FG,Lesion 13z14z15 Day 047 FG,Lesion 13z14z15 Day 060 FG,Lesion 13z14z15 Day 075 FG,Lesion 13z14z15 Day 089 FG,Lesion 13z14z15 Day 103 FG,-2.3931222,7.966831,0,hot
MOX,BO36,16,-378.31,-107.84,-125.25,-166.15,-140.98,-132.07,-379.0,-51.0,-72.0,-135.0,-103.0,-81.0,134.34,143.27,163.3,169.49,168.55,161.94,1.04,2.46,1.01,0.92,1.02,1.06,0.99,2.39,0.96,0.76,0.74,0.85,0.32,0.87,0.37,0.51,0.64,0.6,2.08,4.73,2.06,2.61,3.26,3.59,0.01,0.28,0.04,0.04,0.04,0.03,0.01,0.28,0.04,0.04,0.04,0.03,0.0,0.21,0.0,0.01,0.02,0.01,0.11,0.81,0.34,0.24,0.23,0.17,0.09,0.81,0.34,0.24,0.23,0.16,0.004807692307692308,0.05919661733615222,0.019417475728155338,0.015325670498084292,0.012269938650306749,0.008403361344537815,0.08,0.1,0.11,0.12,0.08,0.05,0.01,0.23,0.23,0.14,0.14,0.1,,,,,,1.24,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,true,true,true,true,true,true,Lesion 16z17z18 Day 034 FG,Lesion 16z17z18 Day 047 FG,Lesion 16z17z18 Day 060 FG,Lesion 16z17z18 Day 075 FG,Lesion 16z17z18 Day 089 FG,Lesion 16z17z18 Day 103 FG,-0.6059393,9.415241,4,hot
MOX,BO36,19,-227.0,-62.45,-144.77,-203.78,-145.57,-124.0,-228.0,-21.0,-97.0,-196.0,-105.0,-62.0,166.81,100.33,166.39,156.11,138.97,147.96,1.32,2.01,0.75,0.53,0.71,1.01,1.29,1.74,0.71,0.44,0.58,0.87,0.43,0.91,0.25,0.23,0.38,0.49,2.45,4.42,1.37,1.21,2.19,2.79,0.03,0.17,0.0,0.0,0.01,0.03,0.03,0.17,0.0,0.0,0.01,0.03,0.01,0.11,0.0,0.0,0.0,0.01,0.12,0.57,0.19,0.1,0.15,0.16,0.11,0.57,0.19,0.09,0.14,0.16,0.012244897959183673,0.038461538461538464,0.0,0.0,0.004629629629629629,0.01075268817204301,0.05,0.06,0.09,0.11,0.08,0.05,0.03,0.23,0.15,0.08,0.12,0.1,,,,,,0.48,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,false,false,false,false,false,false,Lesion 19 Day 034 FG,Lesion 19 Day 047 FG,Lesion 19 Day 060 FG,Lesion 19 Day 075 FG,Lesion 19 Day 089 FG,Lesion 19 Day 103 FG,0.9179921,10.885563,4,hot
MOX,BO36,20,-287.76,2.31,-4.19,-51.92,-33.9,-4.72,-340.0,9.0,12.0,-8.0,1.0,12.0,123.09,47.45,74.14,124.0,119.22,69.23,1.07,3.33,1.56,1.66,1.49,2.81,0.99,3.22,1.59,1.62,1.19,2.71,0.32,1.37,0.51,0.68,0.87,1.04,2.47,6.41,2.7,3.36,4.65,5.07,0.01,0.17,0.13,0.1,0.08,0.12,0.01,0.17,0.13,0.1,0.08,0.12,0.0,0.14,0.05,0.07,0.05,0.1,0.04,0.67,0.37,0.29,0.37,0.39,0.04,0.67,0.37,0.28,0.37,0.39,0.003690036900369004,0.026984126984126985,0.04814814814814815,0.029761904761904764,0.017204301075268817,0.023668639053254437,0.02,0.0,0.01,0.04,0.03,0.01,0.01,0.24,0.23,0.14,0.21,0.13,,,,,,0.78,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,false,false,false,false,false,false,Lesion 20 Day 034 FG,Lesion 20 Day 047 FG,Lesion 20 Day 060 FG,Lesion 20 Day 075 FG,Lesion 20 Day 089 FG,Lesion 20 Day 103 FG,-0.17706785,11.086501,4,hot
MOX,BO36,23,-305.89,-47.27,-106.36,-126.35,-98.82,-122.86,-302.0,-14.0,-68.0,-88.0,-70.0,-55.0,200.59,108.02,141.32,142.05,118.9,160.48,1.82,3.11,1.47,0.92,1.06,1.24,1.5,2.79,1.46,0.69,0.73,0.85,1.15,1.65,0.67,0.68,0.85,0.9,5.06,7.43,2.94,3.46,4.97,5.86,0.11,0.28,0.16,0.05,0.07,0.05,0.11,0.28,0.16,0.05,0.07,0.05,0.08,0.25,0.09,0.03,0.04,0.03,0.41,1.14,0.49,0.28,0.33,0.26,0.37,1.14,0.47,0.28,0.33,0.26,0.02173913043478261,0.037685060565275916,0.054421768707483,0.014450867052023123,0.014084507042253523,0.009523809523809523,0.11,0.05,0.09,0.13,0.08,0.07,0.06,0.3,0.22,0.19,0.23,0.16,,,,,,1.0,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,true,true,true,true,true,true,Lesion 23z24 Day 034 FG,Lesion 23z24 Day 047 FG,Lesion 23z24 Day 060 FG,Lesion 23z24 Day 075 FG,Lesion 23z24 Day 089 FG,Lesion 23z24 Day 103 FG,-0.4437427,10.329005,4,hot
MOX,BO37,1,-360.39,-117.1,-126.6,-131.48,-167.63,-142.16,-382.0,-67.0,-60.0,-73.0,-127.0,-95.0,164.62,152.28,160.45,152.14,151.86,150.3,0.62,2.66,1.56,1.43,0.94,0.97,0.54,2.6,1.59,1.26,0.93,0.95,0.18,0.95,0.57,0.52,0.07,0.15,1.03,4.95,2.93,2.88,1.13,1.36,0.0,0.05,0.02,0.02,0.0,0.0,0.0,0.05,0.02,0.02,0.0,0.0,0.0,0.04,0.01,0.01,0.0,0.0,0.01,0.17,0.05,0.08,0.04,0.05,0.01,0.16,0.05,0.08,0.04,0.05,0.0,0.010101010101010102,0.006825938566552901,0.006944444444444445,0.0,0.0,0.01,0.02,0.01,0.02,0.02,0.02,0.0,0.04,0.03,0.04,0.02,0.03,,,,,,0.89,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 01 Day 034 AA,Lesion 01 Day 047 AA,Leesion 01 Day 060 AA,Lesion 01 Day 074 AA,Lesion 01 Day 089 AA,Lesion 01 Day 103 AA,1.5370196,7.442749,10,cool
MOX,BO37,2,-196.73,-29.03,-77.9,-74.34,-104.99,-55.2,-200.0,5.0,-32.0,-8.0,-33.0,-21.0,156.64,103.94,126.69,148.25,165.5,93.63,0.84,4.4,2.16,3.05,1.51,1.57,0.77,4.36,2.05,2.66,1.43,1.34,0.27,1.21,0.73,1.8,0.65,0.72,1.77,6.94,3.81,6.97,3.0,4.0,0.0,0.06,0.02,0.05,0.03,0.01,0.0,0.06,0.02,0.05,0.03,0.01,0.0,0.06,0.01,0.04,0.02,0.01,0.01,0.25,0.06,0.22,0.11,0.05,0.01,0.25,0.06,0.22,0.11,0.05,0.0,0.008645533141210374,0.005249343832020997,0.0071736011477761845,0.01,0.0025,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.05,0.02,0.06,0.05,0.03,,,,,,0.78,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,false,false,false,false,false,false,Lesion 02 Day 034 AA,Lesion 02 Day 047 AA,Lesion 02 Day 060 AA,Lesion 02 Day 074 AA,Lesion 02 Day 089 AA,Lesion 02 Day 103 AA,-0.04271854,7.609746,2,hot
MOX,BO37,3,-340.1,-175.28,-171.79,-213.72,-235.3,-222.73,-361.0,-144.0,-133.0,-206.0,-238.0,-218.0,148.92,169.29,156.9,174.22,159.56,166.2,0.43,2.1,1.62,0.8,0.56,0.82,0.42,2.06,1.61,0.71,0.54,0.8,0.07,0.74,0.26,0.25,0.1,0.14,0.6,3.63,2.19,1.98,0.87,1.16,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.07,0.02,0.02,0.01,0.03,0.01,0.07,0.02,0.02,0.01,0.03,0.0,0.008264462809917356,0.004566210045662101,0.0,0.0,0.0,0.02,0.02,0.01,0.02,0.01,0.02,0.0,0.02,0.01,0.01,0.01,0.01,,,,,,0.78,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 03 Day 034 AA,Lesion 03 Day 047 AA,Lesion 03 Day 060 AA,Lesion 03 Day 074 AA,Lesion 03 Day 089 AA,Lesion 03 Day 103 AA,2.9327755,6.5388713,10,cool
MOX,BO37,4,-288.43,-145.57,-119.7,-148.2,-101.79,-107.86,-298.0,-111.0,-65.0,-108.0,-36.0,-54.0,176.08,159.06,159.38,161.8,169.83,156.51,0.77,3.44,2.16,1.72,1.44,1.72,0.76,3.13,2.07,1.02,1.33,1.67,0.34,1.44,0.76,1.53,0.68,0.84,1.66,7.16,4.42,6.82,3.65,4.43,0.0,0.76,0.33,0.26,0.44,0.46,0.0,0.76,0.33,0.26,0.44,0.46,0.0,0.67,0.21,0.2,0.21,0.3,0.2,2.73,0.89,1.17,1.6,1.4,0.18,2.71,0.88,1.15,1.59,1.39,0.0,0.10614525139664804,0.0746606334841629,0.03812316715542522,0.12054794520547946,0.10383747178329572,0.16,0.33,0.14,0.27,0.33,0.23,0.06,0.45,0.25,0.4,0.76,0.56,,,,,,1.29,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,true,true,true,true,true,true,Lesion 04z05z06 Day 034 AA,Lesion 04z05z06 Day 047 AA,Lesion 04z05z06 Day 060,Lesion 04z05z06 Day 074 AA,Lesion 04z05z06 Day 089 AA,Lesion 04z05z06 Day 103 AA,-4.365887,7.8794804,5,hot
MOX,BO37,7,-623.44,-524.61,-569.46,-575.17,-551.23,-614.02,-629.0,-528.0,-566.0,-587.0,-539.0,-618.0,69.42,74.85,93.96,96.61,79.61,88.76,0.22,0.71,0.61,0.38,0.33,0.42,0.22,0.72,0.61,0.38,0.33,0.41,0.03,0.07,0.05,0.02,0.01,0.03,0.3,0.86,0.75,0.44,0.35,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.48,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,false,false,false,false,false,false,Lesion 07 Day 034 AA,Lesion 07 Day 047 AA,Lesion 07 Day 060 AA,Lesion 07 Day 074 AA,Lesion 07 Day 089 AA,Lesion 07 Day 103 AA,12.592054,6.6977453,7,cool
MOX,BO37,8,-657.72,-474.56,-501.92,-546.21,-607.03,-560.92,-659.0,-483.0,-514.0,-564.0,-608.0,-560.0,49.87,118.52,97.45,89.53,90.47,68.95,0.26,1.06,0.81,0.75,0.57,0.6,0.27,1.07,0.8,0.73,0.57,0.6,0.02,0.17,0.05,0.11,0.04,0.06,0.33,1.4,0.95,1.14,0.68,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.48,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,false,false,false,false,false,false,Lesion 08 Day 034 AA,Lesion 08 Day 047 AA,Lesion 08 Day 060 FG,Lesion 08 Day 074 AA,Lesion 08 Day 089 AA,Lesion 08 Day 103 AA,12.150361,5.633958,7,cool
MOX,BO37,9,-333.27,-185.73,-171.08,-169.1,-178.48,-199.02,-361.0,-142.0,-118.0,-113.0,-144.0,-166.0,179.7,176.38,167.22,169.05,168.3,168.67,0.36,2.78,1.67,1.71,0.93,0.87,0.35,2.5,1.66,1.2,0.83,0.85,0.08,1.48,0.69,1.37,0.47,0.26,0.57,6.82,3.31,6.32,2.25,1.72,0.0,0.09,0.03,0.06,0.01,0.0,0.0,0.09,0.03,0.06,0.01,0.0,0.0,0.07,0.02,0.04,0.0,0.0,0.03,0.31,0.09,0.23,0.09,0.08,0.02,0.3,0.09,0.22,0.09,0.08,0.0,0.013196480938416421,0.009063444108761328,0.009493670886075948,0.0044444444444444444,0.0,0.05,0.05,0.03,0.06,0.05,0.05,0.01,0.06,0.04,0.08,0.05,0.04,,,,,,0.48,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,false,false,false,false,false,false,Lesion 09 Day 034 AA,Lesion 09 Day 047 AA,Lesion 09 Day 060 AA,Lesion 09 Day 074 AA,Lesion 09 Day 089 AA,Lesion 09 Day 103 AA,1.0800463,5.97356,10,cool
MOX,BO37,10,-557.5,-397.25,-410.92,-556.2,-538.42,-546.76,-562.0,-401.0,-435.0,-585.0,-522.0,-552.0,72.53,113.47,132.82,112.93,110.94,92.24,0.21,0.83,0.63,0.39,0.34,0.45,0.21,0.81,0.62,0.39,0.34,0.45,0.01,0.15,0.07,0.03,0.03,0.02,0.25,1.11,0.83,0.46,0.41,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.48,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,false,false,false,false,false,false,Lesion 10 Day 034 AA,Lesion 10 Day 047 AA,Lesion 10 Day 060 AA,Lesion 10 Day 074 AA,Lesion 10 Day 089 AA,Lesion 10 Day 103 AA,11.676518,7.336441,7,cool
MOX,BO37,12,-360.04,-165.8,-157.95,-162.66,-262.14,-127.22,-388.0,-142.0,-119.0,-139.0,-248.0,-74.0,177.9,156.2,169.52,148.58,191.32,149.93,0.38,2.83,1.9,1.79,0.86,1.14,0.34,2.7,1.82,1.21,0.84,1.1,0.15,0.87,0.71,1.41,0.38,0.35,0.81,5.75,4.33,6.89,2.09,2.85,0.0,0.23,0.1,0.11,0.01,0.03,0.0,0.23,0.1,0.11,0.01,0.03,0.0,0.2,0.06,0.08,0.0,0.0,0.03,0.68,0.29,0.44,0.21,0.2,0.03,0.68,0.28,0.43,0.2,0.2,0.0,0.04,0.024,0.015625,0.004784688995215312,0.009933774834437087,0.06,0.1,0.05,0.11,0.12,0.05,0.01,0.14,0.07,0.13,0.09,0.12,,,,,,0.78,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,true,true,true,true,true,true,Lesion 12z14 Day 034 AA,Lesion 12z14 Day 047 AA,Lesion 12z14 Day 060 AA,Lesion 12z14 Day 074 AA,Lesion 12z14 Day 089 AA,Lesion 12z14 Day 103 AA,-0.7255106,6.637528,2,hot
MOX,BO37,15,-504.16,-254.23,-242.14,-221.94,-222.12,-187.86,-538.0,-264.0,-236.0,-209.0,-211.0,-135.0,143.64,163.05,168.87,165.44,175.62,192.65,0.3,2.44,1.7,1.53,1.24,1.59,0.26,2.33,1.62,0.76,0.88,1.1,0.16,1.01,0.72,1.62,0.93,1.2,1.03,5.97,3.54,6.94,4.5,5.16,0.0,0.37,0.16,0.15,0.16,0.25,0.0,0.37,0.16,0.15,0.16,0.25,0.0,0.29,0.11,0.12,0.11,0.2,0.15,1.14,0.51,0.76,0.69,1.02,0.08,1.12,0.48,0.73,0.68,0.96,0.0,0.06197654941373534,0.04519774011299435,0.02229299363057325,0.035555555555555556,0.0,0.2,0.3,0.15,0.25,0.3,0.24,0.01,0.15,0.1,0.19,0.23,0.33,,,,,,2.03,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,true,true,true,true,true,true,Lesion 15z16z17 Day 034 AA,Lesion 15z16z17 Day 047 AA,Lesion 15z16z17 Day 060 AA,Lesion 15z16z17 Day 074 AA,Lesion 15z16z17 Day 089 AA,Lesion 15z16z17 Day 103 AA,-4.124448,9.214426,5,hot
MOX,BO37,18,-666.53,-330.77,-313.46,-550.85,-332.05,-399.6,-672.0,-338.0,-328.0,-576.0,-339.0,-413.0,40.95,143.44,164.23,110.86,126.75,96.96,0.18,0.82,0.83,0.62,0.47,0.49,0.18,0.82,0.83,0.59,0.46,0.48,0.01,0.05,0.12,0.1,0.06,0.07,0.22,0.94,1.12,0.98,0.63,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.48,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,false,false,false,false,false,false,Lesion 18 Day 034 AA,Lesion 18 Day 047 AA,Lesion 18 Day 060 AA,Lesion 18 Day 074 AA,Lesion 18 Day 089 AA,Lesion 18 Day 089 JF,9.862143,6.6943145,8,cool
MOX+RIF,BO38,1,-275.63,-52.84,-116.42,-177.43,-261.13,-342.05,-294.0,-6.0,-57.0,-148.0,-268.0,-351.0,183.48,135.24,162.25,165.58,152.18,156.36,1.28,3.17,1.77,0.88,0.79,0.53,1.19,2.77,1.7,0.86,0.7,0.46,0.42,1.37,0.49,0.18,0.25,0.15,2.79,7.57,3.48,1.49,2.05,1.25,0.03,0.37,0.2,0.0,0.0,0.0,0.03,0.37,0.2,0.0,0.0,0.0,0.01,0.31,0.09,0.0,0.0,0.0,0.13,1.21,0.54,0.15,0.08,0.05,0.11,1.2,0.53,0.15,0.08,0.04,0.01075268817204301,0.04887714663143989,0.0574712643678161,0.0,0.0,0.0,0.06,0.06,0.09,0.08,0.07,0.07,0.03,0.32,0.2,0.09,0.03,0.01,,,,,,1.08,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,true,true,true,true,true,true,Lesion 01z02z03 Day 033 FG,Lesion 01z02z03 Day 046 FG,Lesion 01z02z03 Day 062 FG,Lesion 01z02z03 Day 074 FG,Lesion 01z02z03 Day 088 FG,Lesion 01z02z03 Day 102 FG,-0.7351861,8.783347,4,hot
MOX+RIF,BO38,4,-213.05,-141.24,-210.55,-278.75,-303.16,-290.8,-187.0,-77.0,-188.0,-294.0,-319.0,-321.0,181.5,169.55,191.6,175.7,159.44,197.47,1.49,2.65,1.17,0.78,0.81,0.61,1.36,2.47,1.05,0.76,0.78,0.58,0.51,0.91,0.43,0.18,0.16,0.11,2.66,4.8,2.46,1.14,1.28,0.93,0.01,0.1,0.01,0.0,0.0,0.0,0.01,0.1,0.01,0.0,0.0,0.0,0.01,0.07,0.0,0.0,0.0,0.0,0.05,0.27,0.07,0.03,0.01,0.01,0.05,0.27,0.06,0.02,0.01,0.01,0.0037593984962406013,0.020833333333333336,0.0040650406504065045,0.0,0.0,0.0,0.02,0.04,0.03,0.02,0.01,0.01,0.02,0.06,0.03,0.01,0.0,0.0,,,,,,0.68,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 04 Day 033 FG,Lesion 04 Day 046 FG,Lesion 04 Day 062 FG,Lesion 04 Day 074 FG,Lesion 04 Day 088 FG,Lesion 04 Day 102 FG,1.2637991,7.0059195,10,cool
MOX+RIF,BO38,5,-201.99,-71.58,-87.89,-125.9,-192.87,-236.15,-152.0,-11.0,-32.0,-65.0,-153.0,-219.0,196.46,152.29,147.18,159.67,175.47,174.43,1.9,4.25,2.37,1.56,0.93,0.52,1.72,4.15,2.21,1.44,0.86,0.48,0.9,1.64,0.89,0.65,0.32,0.14,4.99,9.83,4.93,3.74,2.17,1.05,0.33,0.83,0.62,0.2,0.02,0.0,0.33,0.83,0.62,0.2,0.02,0.0,0.21,0.79,0.43,0.1,0.0,0.0,1.04,3.61,1.74,0.66,0.27,0.12,0.99,3.56,1.71,0.65,0.26,0.11,0.06613226452905811,0.08443540183112919,0.1257606490872211,0.053475935828877004,0.009216589861751152,0.0,0.23,0.14,0.17,0.14,0.13,0.12,0.26,0.69,0.54,0.28,0.15,0.09,,,,,,1.32,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,true,true,true,true,true,true,Lesion 05z06az06bz07 Day 033 FG,Lesion 05z06az06bz07 Day 046 FG,Lesion 05z06az06bz07 Day 062 FG,Lesion 05z06az06bz07 Day 074 FG,Lesion 05z06az06bz07 Day 088 FG,Lesion 05z06az06bz07 Day 102 FG,-2.214665,6.4640355,0,hot
MOX+RIF,BO38,8,-92.24,-42.7,-117.98,-152.77,-248.97,-324.3,-22.0,6.0,-63.0,-131.0,-259.0,-311.0,163.53,137.06,157.31,133.89,154.97,123.56,2.52,3.85,2.52,1.89,1.28,0.59,2.24,3.6,2.37,1.73,1.19,0.56,1.26,1.87,1.02,0.78,0.49,0.14,6.12,9.33,4.84,4.64,2.7,1.07,0.3,0.58,0.34,0.17,0.09,0.0,0.3,0.58,0.34,0.17,0.09,0.0,0.23,0.52,0.27,0.11,0.03,0.0,0.99,2.49,1.05,0.55,0.36,0.04,0.99,2.48,1.05,0.54,0.35,0.03,0.049019607843137254,0.06216505894962486,0.07024793388429752,0.03663793103448276,0.03333333333333333,0.0,0.11,0.09,0.13,0.14,0.18,0.06,0.28,0.56,0.28,0.15,0.09,0.0,,,,,,0.78,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 08 Day 033 FG,Lesion 08 Day 046 FG,Lesion 08 Day 062 FG,Lesion 08 Day 074 FG,Lesion 08 Day 088 FG,Lesion 08 Day 102 FG,-1.7105712,7.5728526,0,hot
