feature,CFU_p,radiodensity (HU)_p,stdev radiodensity (HU)_p,soft volume (mL)_p,hard volume (mL)_p,PET activity (SUV)_p,∆ radiodensity (HU)_p,∆ stdev radiodensity (HU)_p,∆ soft volume (mL)_p,∆ hard volume (mL)_p,∆ PET activity (SUV)_p,CFU_p2,radiodensity (HU)_p2,stdev radiodensity (HU)_p2,soft volume (mL)_p2,hard volume (mL)_p2,PET activity (SUV)_p2,∆ radiodensity (HU)_p2,∆ stdev radiodensity (HU)_p2,∆ soft volume (mL)_p2,∆ hard volume (mL)_p2,∆ PET activity (SUV)_p2
PK_cas AUC25 butyrate (terminal),0.61,0.88,0.84,0.49,0.52,0.91,0.61,0.74,0.95,0.95,0.71,0.44,0.15,0.44,0.88,0.98,0.44,0.13,1.00,0.34,1.00,0.29
PK_cas AUC25 cholesterol (constant),0.20,0.27,0.84,0.75,0.46,0.88,0.07,0.46,0.46,0.93,0.93,0.11,0.54,0.62,0.39,0.43,0.10,0.75,0.54,0.75,0.15,0.20
PK_cas AUC25 cholesterol (terminal),0.64,0.21,0.58,0.74,0.88,1.00,0.44,0.58,0.31,0.25,0.29,0.31,0.11,0.52,0.95,0.36,0.02,0.21,0.36,0.95,0.81,0.46
PK_cas AUC25 dormancy (constant),0.00,1.00,0.71,0.74,0.13,0.31,1.00,0.39,0.16,0.46,0.55,0.00,0.15,0.98,0.95,0.15,0.55,0.46,0.95,0.91,0.74,0.34
PK_cas AUC25 dormancy (terminal),0.34,0.78,0.84,0.74,0.88,0.18,0.74,0.68,0.49,0.52,0.58,0.18,0.16,0.74,0.29,0.49,0.84,0.36,0.31,0.58,0.52,0.29
PK_cas GRinf butyrate (constant),0.71,0.91,0.64,0.95,0.68,0.41,0.44,0.78,0.11,0.03,0.16,0.64,0.01,0.71,0.61,0.23,0.31,0.05,0.58,0.04,0.15,0.88
PK_cas GRinf butyrate (terminal),0.78,1.00,0.68,0.95,0.61,0.29,0.36,0.81,0.09,0.04,0.13,0.74,0.01,0.84,0.74,0.21,0.25,0.03,0.78,0.09,0.11,0.61
PK_cas GRinf cholesterol (constant),0.98,0.76,0.21,0.40,0.49,0.62,0.30,0.67,0.40,0.01,0.76,0.83,0.30,0.17,0.09,0.67,0.56,0.30,0.43,0.49,0.33,0.83
PK_cas GRinf cholesterol (terminal),0.71,0.55,0.20,0.57,0.33,0.68,0.20,0.65,0.42,0.01,0.45,0.65,0.24,0.23,0.03,0.79,0.79,0.24,0.42,0.42,0.37,0.68
PK_cas GRinf dormancy (constant),0.44,0.46,0.19,0.39,0.34,0.68,0.74,1.00,0.44,0.84,0.13,1.00,0.84,0.74,0.84,0.91,0.74,0.81,0.68,0.98,0.74,0.81
PK_cas GRinf dormancy (terminal),0.19,0.44,0.31,0.49,1.00,0.52,0.64,0.21,0.61,0.78,0.49,0.08,0.64,0.44,0.44,0.16,0.74,0.91,0.81,0.91,0.95,0.36
PK_cell AUC25 butyrate (constant),0.71,0.88,0.31,0.58,0.78,0.31,0.55,0.81,0.61,0.91,0.12,0.55,0.23,0.21,0.39,0.44,0.61,0.29,0.61,0.84,0.34,0.13
