feature,CFU,radiodensity (HU),stdev radiodensity (HU),soft volume (mL),hard volume (mL),PET activity (SUV),∆ radiodensity (HU),∆ stdev radiodensity (HU),∆ soft volume (mL),∆ hard volume (mL),∆ PET activity (SUV),CFU2,radiodensity (HU)2,stdev radiodensity (HU)2,soft volume (mL)2,hard volume (mL)2,PET activity (SUV)2,∆ radiodensity (HU)2,∆ stdev radiodensity (HU)2,∆ soft volume (mL)2,∆ hard volume (mL)2,∆ PET activity (SUV)2
PKcellbutyrateGRinfT,-0.20,-0.12,-0.20,-0.05,0.17,0.32,0.25,-0.17,0.60,0.68,0.50,-0.23,0.85,0.07,-0.12,0.48,0.47,0.73,0.13,0.52,0.47,0.17
PKcellcholesterolGRinfC,-0.15,-0.59,-0.76,-0.07,-0.54,0.07,-0.71,-0.66,-0.02,-0.78,0.37,0.02,-0.41,-0.66,0.95,0.32,0.02,-0.46,-0.63,-0.24,-0.27,0.34
PKcellcholesterolGRinfT,-0.27,0.07,0.05,0.58,0.32,0.23,-0.13,-0.08,0.25,-0.42,0.00,-0.15,0.22,-0.22,0.48,0.13,0.32,0.25,-0.25,-0.37,-0.27,0.55
PKcelldormancyGRinfC,0.13,-0.22,-0.32,-0.28,-0.48,-0.40,-0.42,-0.10,-0.68,-0.63,-0.10,0.03,-0.82,-0.32,0.30,-0.30,-0.52,-0.87,-0.12,-0.33,-0.38,-0.23
PKcelldormancyGRinfT,-0.67,-0.35,-0.15,-0.25,0.15,-0.22,-0.13,-0.25,0.23,0.55,-0.07,-0.78,0.65,0.17,-0.30,0.27,0.15,0.28,0.50,0.32,-0.22,-0.33
  5NPKcasAUC50 ,-0.20,0.11,0.23,-0.20,0.17,0.09,0.30,0.11,0.29,0.60,-0.33,-0.29,0.52,0.21,-0.41,0.30,0.18,0.53,0.12,0.36,0.42,-0.20
 7HPKcasAUC50 ,-0.19,-0.05,-0.43,0.01,0.03,-0.23,0.01,0.18,-0.16,0.03,0.31,-0.17,0.16,-0.59,-0.05,-0.30,-0.42,0.09,-0.03,-0.32,0.02,-0.03
 7NPKcasAUC50 ,0.05,0.37,0.16,0.06,0.19,0.46,0.62,0.23,0.35,0.47,0.26,0.03,0.45,0.01,-0.26,0.31,0.40,0.60,-0.24,0.32,0.73,0.29
  5NPKcasFBC50 ,0.38,-0.20,-0.18,-0.12,-0.43,-0.24,-0.21,-0.12,-0.38,-0.57,0.16,0.38,-0.51,-0.09,0.36,-0.19,-0.03,-0.46,-0.13,-0.23,-0.37,-0.10
 7HPKcasFBC50 ,0.57,0.42,0.53,0.03,0.01,0.30,0.38,0.14,-0.01,0.03,-0.19,0.52,-0.45,0.43,-0.24,-0.10,0.17,-0.20,-0.04,0.30,0.19,-0.07
 7NPKcasFBC50 ,0.22,-0.35,-0.36,0.09,-0.26,-0.36,-0.56,-0.08,-0.47,-0.74,0.04,0.29,-0.47,-0.37,0.49,-0.46,-0.32,-0.36,-0.34,-0.77,-0.27,0.24
  5NPKcasFBC90 ,0.36,-0.22,-0.10,-0.15,-0.47,-0.27,-0.20,-0.16,-0.40,-0.56,0.03,0.36,-0.42,0.05,0.34,-0.10,0.06,-0.34,-0.13,-0.20,-0.31,-0.13
 7HPKcasFBC90 ,0.42,0.33,0.21,0.31,0.07,0.26,0.15,0.06,-0.01,-0.17,0.20,0.43,-0.40,0.23,0.03,-0.16,0.01,-0.34,0.13,0.33,-0.11,0.03
 7NPKcasFBC90 ,0.24,0.19,0.14,0.38,0.07,0.23,-0.01,-0.04,-0.05,-0.49,-0.12,0.36,-0.27,-0.03,0.33,-0.08,-0.09,-0.08,-0.35,-0.09,0.16,0.31
  5N PKcellAUC50 ,-0.54,-0.34,-0.08,-0.49,-0.14,-0.21,-0.11,-0.31,0.02,0.36,-0.21,-0.53,0.30,0.14,-0.16,0.36,0.08,0.10,0.15,0.01,-0.06,-0.24
 7HPKcellAUC50 ,-0.43,-0.25,0.08,0.03,0.21,-0.01,-0.42,0.06,0.23,0.21,-0.13,-0.49,0.14,0.24,-0.08,0.10,0.31,0.03,0.00,-0.29,-0.19,0.37
 7NPkcellAUC50 ,-0.09,-0.18,0.19,-0.55,-0.25,0.05,0.18,-0.27,0.10,0.19,-0.42,-0.02,0.06,0.06,-0.10,0.39,0.25,0.24,-0.43,-0.12,0.34,-0.10
  5N PKcellFBC50 ,0.32,0.02,0.02,-0.21,-0.30,-0.01,0.07,0.04,-0.20,-0.25,0.14,0.27,-0.57,-0.08,0.10,-0.11,-0.05,-0.52,-0.18,0.04,-0.20,-0.19
 7HPKcellFBC50 ,0.33,0.06,0.08,-0.40,-0.36,0.14,0.27,-0.05,-0.09,-0.07,0.06,0.34,-0.55,-0.13,0.03,0.05,-0.08,-0.38,-0.47,0.19,0.16,-0.25
 7N cellPK FBC50 ,0.07,0.32,0.53,0.95,0.67,0.86,0.32,0.41,0.25,0.45,0.78,0.09,0.07,0.98,0.64,0.19,0.98,0.34,0.54,0.39,0.85,0.81
  5N PKcellFBC90 ,-0.10,-0.06,-0.05,-0.40,-0.21,0.24,0.18,-0.15,0.18,0.20,0.31,-0.13,-0.16,-0.08,0.07,0.42,0.14,-0.28,-0.20,0.41,0.07,-0.12
 7HPKcellFBC90 ,0.38,0.39,0.31,0.06,0.12,0.59,0.40,0.08,0.32,0.28,0.30,0.33,-0.26,0.26,-0.09,0.21,0.26,-0.19,-0.04,0.67,0.31,0.09
 7NPKcellFBC90 ,0.40,0.58,0.59,0.21,0.16,0.54,0.58,0.23,0.19,0.01,-0.18,0.40,-0.27,0.24,-0.18,0.06,0.23,0.03,-0.34,0.31,0.41,0.14
  5NPKequipAUC50 ,-0.15,0.07,-0.10,0.00,0.18,0.34,0.23,0.31,0.42,0.41,0.33,-0.30,0.55,-0.24,0.03,0.43,0.35,0.51,-0.26,0.29,0.63,0.34
 7HPKequipAUC50 ,-0.06,-0.18,-0.45,0.31,0.16,0.15,-0.47,-0.19,0.15,-0.19,0.47,0.07,-0.15,-0.39,0.48,-0.12,-0.42,-0.26,-0.18,0.02,0.02,0.34
 7NPKequipAUC50 ,0.18,0.41,0.42,0.29,0.39,0.08,0.26,0.35,0.02,0.27,-0.29,0.17,-0.01,0.27,-0.59,-0.46,-0.01,0.21,0.16,-0.24,0.11,0.12
  5NPKequipFBC50 ,0.11,-0.20,-0.05,-0.36,-0.47,-0.64,-0.21,-0.20,-0.74,-0.50,-0.48,0.16,-0.63,-0.02,-0.02,-0.48,-0.58,-0.59,0.09,-0.42,-0.54,-0.64
 7HPKequipFBC50 ,0.38,0.04,-0.07,-0.25,-0.37,-0.41,0.26,-0.12,-0.45,-0.17,-0.24,0.39,-0.05,-0.02,-0.10,-0.23,-0.35,0.04,0.26,0.15,-0.05,-0.73
 7NPKequipFBC50 ,0.34,0.32,0.28,0.07,-0.05,0.49,0.46,-0.06,0.28,-0.01,0.12,0.37,-0.05,0.19,0.13,0.41,0.34,0.10,-0.26,0.63,0.38,0.03
5NPKequipFBC90 ,0.74,-0.01,-0.10,-0.20,-0.37,-0.19,0.11,-0.04,-0.35,-0.20,0.07,0.66,-0.20,0.02,0.12,-0.17,-0.07,-0.04,0.12,0.15,0.19,-0.32
 7HPKequipFBC90 ,0.44,0.06,-0.20,-0.09,-0.25,-0.10,0.15,-0.17,-0.21,-0.13,0.18,0.49,-0.20,-0.12,0.11,-0.15,-0.39,-0.14,0.12,0.41,0.07,-0.47
 7NPKequipFBC90 ,-0.02,0.01,-0.02,-0.18,-0.25,0.41,0.25,-0.26,0.27,-0.17,0.17,0.10,-0.16,-0.24,0.42,0.55,0.10,-0.08,-0.70,0.43,0.32,0.02
,,,,,,,,,,,,,,,,,,,,,,
